"","location","date","total_deaths_per_million","mask_category"
"287","Poland",73,0.125,3
"288","United Kingdom",73,2.311,2
"289","Finland",73,6.317,1
"290","Bulgaria",73,0.295,1
"291","Austria",73,0.671,1
"292","France",73,0.665,3
"293","Germany",73,1.283,2
"294","Norway",73,0.552,1
"295","Ireland",73,0.597,2
"296","Italy",73,42.397,3
"297","Ukraine",73,0.05,2
"298","Albania",73,0.352,1
"299","Hungary",73,0.1,3
"300","Spain",74,10.135,3
"301","Poland",74,0.125,3
"302","Germany",74,1.283,2
"303","Finland",74,8.122,1
"304","Norway",74,0.552,1
"305","United Kingdom",74,3.17,2
"306","Italy",74,50.443,3
"307","Ireland",74,0.597,2
"308","Sweden",74,1.327,1
"309","Denmark",74,1.53,1
"310","Bulgaria",74,0.295,1
"311","Belgium",74,4.204,2
"312","Switzerland",74,6.293,1
"313","Albania",74,0.352,1
"314","Ukraine",74,0.05,2
"315","Slovenia",74,0.472,2
"316","France",74,0.665,3
"317","Austria",74,0.783,1
"318","Greece",74,0.385,3
"319","Netherlands",74,2.277,1
"320","Hungary",74,0.1,3
"321","United Kingdom",75,4.251,2
"322","Hungary",75,0.1,3
"323","Austria",75,1.119,1
"324","France",75,0.665,3
"325","Italy",75,57.675,3
"326","Netherlands",75,2.277,1
"327","Slovenia",75,0.472,2
"328","Albania",75,0.704,1
"329","Switzerland",75,7.894,1
"330","Greece",75,0.385,3
"331","Belgium",75,6.349,2
"332","Spain",75,10.135,3
"333","Norway",75,1.104,1
"334","Ukraine",75,0.05,2
"335","Ireland",75,0.597,2
"336","Finland",75,9.385,1
"337","Poland",75,0.125,3
"338","Sweden",75,1.991,1
"339","Germany",75,1.283,2
"340","Bulgaria",75,0.295,1
"341","Croatia",75,0.248,1
"342","Denmark",75,2.38,1
"343","Ireland",76,0.796,2
"344","Poland",76,0.125,3
"345","Belgium",76,9.351,2
"346","France",76,0.665,3
"347","Denmark",76,3.06,1
"348","Serbia",76,0.146,1
"349","United Kingdom",76,5.422,2
"350","Sweden",76,2.844,1
"351","Bosnia and Herzegovina",76,0.309,1
"352","Switzerland",76,10.297,1
"353","Spain",76,10.135,3
"354","Albania",76,0.704,1
"355","Bulgaria",76,0.295,1
"356","Austria",76,1.342,1
"357","Ukraine",76,0.05,2
"358","Finland",76,10.107,1
"359","Germany",76,1.283,2
"360","Norway",76,1.288,1
"361","Italy",76,68.296,3
"362","Slovenia",76,0.472,2
"363","Greece",76,0.385,3
"364","Netherlands",76,2.277,1
"365","Croatia",76,0.248,1
"366","Hungary",76,0.401,3
"367","Albania",77,0.704,1
"368","Sweden",77,3.602,1
"369","Ukraine",77,0.126,2
"370","Hungary",77,0.401,3
"371","France",77,11.033,3
"372","Belgium",77,12.783,2
"373","Germany",77,7.029,2
"374","Denmark",77,3.57,1
"375","North Macedonia",77,0.478,2
"376","Italy",77,81.728,3
"377","Ireland",77,0.995,2
"378","Portugal",77,2.531,3
"379","Finland",77,11.19,1
"380","Spain",77,61.272,3
"381","Slovenia",77,0.943,2
"382","United Kingdom",77,7.169,2
"383","Serbia",77,0.146,1
"384","Switzerland",77,12.471,1
"385","Bosnia and Herzegovina",77,0.309,1
"386","Greece",77,1.637,3
"387","Poland",77,0.125,3
"388","Croatia",77,0.248,1
"389","Norway",77,1.288,1
"390","Bulgaria",77,0.442,1
"391","Austria",77,1.678,1
"392","Netherlands",77,19.073,1
"393","Portugal",78,2.531,3
"394","Czechia",78,0.095,1
"395","Spain",78,61.272,3
"396","Greece",78,1.637,3
"397","North Macedonia",78,0.478,2
"398","Germany",78,7.029,2
"399","Italy",78,92.755,3
"400","Slovenia",78,0.943,2
"401","Netherlands",78,19.073,1
"402","Switzerland",78,14.53,1
"403","Hungary",78,0.702,3
"404","Croatia",78,0.248,1
"405","France",78,11.033,3
"406","Ireland",78,1.593,2
"407","Bosnia and Herzegovina",78,0.309,1
"408","Bulgaria",78,0.442,1
"409","Sweden",78,4.645,1
"410","Poland",78,0.176,3
"411","United Kingdom",78,9.288,2
"412","Belgium",78,16.301,2
"413","Serbia",78,0.291,1
"414","Norway",78,1.288,1
"415","Austria",78,2.014,1
"416","Romania",78,0.102,3
"417","Finland",78,12.092,1
"418","Ukraine",78,0.126,2
"419","Denmark",78,4.08,1
"420","Albania",78,0.704,1
"421","Albania",79,1.055,1
"422","Bosnia and Herzegovina",79,0.619,1
"423","Ukraine",79,0.126,2
"424","Czechia",79,0.095,1
"425","Germany",79,7.029,2
"426","Bulgaria",79,0.442,1
"427","Finland",79,13.356,1
"428","Norway",79,1.472,1
"429","Hungary",79,0.803,3
"430","Croatia",79,0.248,1
"431","Lithuania",79,0.364,3
"432","Ireland",79,2.588,2
"433","Poland",79,0.201,3
"434","France",79,11.033,3
"435","Sweden",79,5.688,1
"436","United Kingdom",79,11.998,2
"437","Serbia",79,0.291,1
"438","Romania",79,0.203,3
"439","Denmark",79,4.08,1
"440","Austria",79,2.461,1
"441","Belgium",79,21.019,2
"442","Italy",79,102.935,3
"443","Portugal",79,2.531,3
"444","Spain",79,61.272,3
"445","Netherlands",79,19.073,1
"446","Greece",79,1.637,3
"447","Slovenia",79,0.943,2
"448","North Macedonia",79,0.478,2
"449","Switzerland",79,17.162,1
"450","Ireland",80,2.986,2
"451","Poland",80,0.251,3
"452","Lithuania",80,0.727,3
"453","Norway",80,1.84,1
"454","Czechia",80,0.286,1
"455","Austria",80,3.356,1
"456","Slovenia",80,0.943,2
"457","Spain",80,61.272,3
"458","Denmark",80,5.44,1
"459","Italy",80,115.52,3
"460","Portugal",80,2.531,3
"461","Bulgaria",80,0.442,1
"462","Croatia",80,0.248,1
"463","Finland",80,14.078,1
"464","North Macedonia",80,0.478,2
"465","Germany",80,7.029,2
"466","Bosnia and Herzegovina",80,0.928,1
"467","Belgium",80,27.969,2
"468","Sweden",80,7.678,1
"469","Greece",80,1.637,3
"470","Netherlands",80,19.073,1
"471","Serbia",80,0.437,1
"472","United Kingdom",80,15.05,2
"473","Romania",80,0.407,3
"474","France",80,11.033,3
"475","Hungary",80,1.003,3
"476","Ukraine",80,0.126,2
"477","Albania",80,1.407,1
"478","Switzerland",80,19.335,1
"479","Ireland",81,4.38,2
"480","Spain",81,61.272,3
"481","Portugal",81,2.531,3
"482","United Kingdom",81,18.946,2
"483","Austria",81,4.251,1
"484","Bulgaria",81,0.442,1
"485","Finland",81,15.882,1
"486","Norway",81,2.208,1
"487","Bosnia and Herzegovina",81,0.928,1
"488","Netherlands",81,19.073,1
"489","France",81,11.033,3
"490","Romania",81,0.865,3
"491","Slovenia",81,0.943,2
"492","Ukraine",81,0.126,2
"493","Switzerland",81,23.797,1
"494","Croatia",81,0.248,1
"495","Serbia",81,0.582,1
"496","Sweden",81,9.764,1
"497","Czechia",81,0.953,1
"498","Lithuania",81,1.091,3
"499","Germany",81,7.029,2
"500","North Macedonia",81,0.478,2
"501","Hungary",81,1.003,3
"502","Greece",81,1.637,3
"503","Poland",81,0.326,3
"504","Denmark",81,5.78,1
"505","Albania",81,1.759,1
"506","Italy",81,127.089,3
"507","Belgium",81,34.489,2
"508","Finland",82,18.951,1
"509","North Macedonia",82,0.478,2
"510","Croatia",82,0.744,1
"511","Bosnia and Herzegovina",82,1.237,1
"512","Netherlands",82,19.073,1
"513","Czechia",82,0.953,1
"514","Italy",82,138.302,3
"515","France",82,11.033,3
"516","Romania",82,1.17,3
"517","Germany",82,7.029,2
"518","Slovenia",82,0.943,2
"519","Albania",82,1.759,1
"520","Greece",82,1.637,3
"521","Ukraine",82,0.126,2
"522","Norway",82,2.576,1
"523","Bulgaria",82,0.442,1
"524","Hungary",82,1.003,3
"525","Ireland",82,5.972,2
"526","Austria",82,4.922,1
"527","Lithuania",82,1.455,3
"528","Poland",82,0.401,3
"529","Spain",82,61.272,3
"530","United Kingdom",82,23.938,2
"531","Serbia",82,1.019,1
"532","Belgium",82,44.012,2
"533","Switzerland",82,28.145,1
"534","Denmark",82,6.97,1
"535","Sweden",82,12.702,1
"536","Portugal",82,2.531,3
"537","United Kingdom",83,30.011,2
"538","Bosnia and Herzegovina",83,1.856,1
"539","Albania",83,2.111,1
"540","Sweden",83,15.736,1
"541","Ukraine",83,0.126,2
"542","Croatia",83,0.744,1
"543","Belgium",83,52.763,2
"544","Spain",83,61.272,3
"545","Czechia",83,1.144,1
"546","Netherlands",83,19.073,1
"547","Lithuania",83,1.455,3
"548","Italy",83,154.715,3
"549","Bulgaria",83,0.442,1
"550","Austria",83,5.929,1
"551","Switzerland",83,31.806,1
"552","Greece",83,1.637,3
"553","France",83,11.033,3
"554","Norway",83,2.944,1
"555","North Macedonia",83,0.478,2
"556","Romania",83,1.323,3
"557","Germany",83,7.029,2
"558","Poland",83,0.401,3
"559","Serbia",83,1.164,1
"560","Slovenia",83,0.943,2
"561","Ireland",83,7.764,2
"562","Hungary",83,1.104,3
"563","Denmark",83,8.84,1
"564","Finland",83,20.394,1
"565","Portugal",83,2.531,3
"566","United Kingdom",84,36.869,2
"567","Portugal",84,14.604,3
"568","Sweden",84,19.053,1
"569","Romania",84,1.882,3
"570","Switzerland",84,38.327,1
"571","Spain",84,180.346,3
"572","Bosnia and Herzegovina",84,1.856,1
"573","Italy",84,169.774,3
"574","Denmark",84,11.05,1
"575","Estonia",84,55.05,2
"576","Austria",84,7.383,1
"577","Lithuania",84,1.455,3
"578","Netherlands",84,64.45,1
"579","Belgium",84,64.431,2
"580","Hungary",84,1.304,3
