"","location","date","total_deaths_per_million","mask_category"
"29263","Austria",953,2292.268,2
"29264","Denmark",954,1158.739,1
"29265","Lithuania",954,3362.111,3
"29266","North Macedonia",954,4658.47,2
"29267","Hungary",954,4712.006,3
"29268","Spain",954,2426.016,3
"29269","Ireland",954,1571.935,3
"29270","Netherlands",954,1285.07,1
"29271","Poland",954,2929.738,3
"29272","Belgium",954,2778.502,3
"29273","Austria",954,2292.939,2
"29274","Bosnia and Herzegovina",954,4934.545,1
"29275","France",954,2377.395,3
"29276","Finland",954,1062.673,1
"29277","Norway",954,728.333,1
"29278","Ukraine",954,2675.348,2
"29279","Croatia",954,4095.911,1
"29280","Latvia",954,3552.258,2
"29281","Romania",954,3375.354,3
"29282","Serbia",954,2395.821,1
"29283","Belarus",954,746.516,2
"29284","United Kingdom",954,3050.885,2
"29285","Switzerland",954,1548.315,1
"29286","Bulgaria",954,5525.84,2
"29287","Slovenia",954,3815.377,2
"29288","Estonia",954,1896.59,2
"29289","Albania",954,1256.017,1
"29290","Portugal",954,2413.041,3
"29291","Greece",954,3091.005,3
"29292","Slovakia",954,3599.036,3
"29293","Germany",954,1802.055,2
"29294","Czechia",954,3886.51,1
"29295","Sweden",954,1873.007,1
"29296","Italy",954,2949.008,3
"29297","Latvia",955,3552.258,2
"29298","Croatia",955,4098.888,1
"29299","Serbia",955,2398.441,1
"29300","Estonia",955,1896.59,2
"29301","Finland",955,1063.936,1
"29302","Ireland",955,1572.731,3
"29303","Lithuania",955,3363.202,3
"29304","Switzerland",955,1548.772,1
"29305","Norway",955,728.333,1
"29306","France",955,2377.395,3
"29307","North Macedonia",955,4658.47,2
"29308","Czechia",955,3887.177,1
"29309","Portugal",955,2413.041,3
"29310","Poland",955,2930.366,3
"29311","Slovakia",955,3600.1,3
"29312","Spain",955,2426.016,3
"29313","Germany",955,1802.055,2
"29314","Sweden",955,1874.618,1
"29315","Austria",955,2293.387,2
"29316","Belarus",955,746.516,2
"29317","Romania",955,3376.27,3
"29318","Slovenia",955,3815.377,2
"29319","Bosnia and Herzegovina",955,4937.329,1
"29320","Italy",955,2950.194,3
"29321","Greece",955,3091.005,3
"29322","Bulgaria",955,5525.84,2
"29323","Belgium",955,2779.102,3
"29324","Hungary",955,4723.745,3
"29325","Ukraine",955,2675.348,2
"29326","Denmark",955,1160.439,1
"29327","Netherlands",955,1285.07,1
"29328","Albania",955,1256.369,1
"29329","United Kingdom",955,3052.203,2
"29330","Croatia",956,4100.873,1
"29331","Lithuania",956,3363.929,3
"29332","Austria",956,2294.617,2
"29333","United Kingdom",956,3053.255,2
"29334","Serbia",956,2399.896,1
"29335","Ukraine",956,2675.348,2
"29336","Belgium",956,2780.646,3
"29337","Latvia",956,3552.258,2
"29338","Netherlands",956,1285.07,1
"29339","Ireland",956,1574.722,3
"29340","Finland",956,1066.102,1
"29341","Romania",956,3378.406,3
"29342","Belarus",956,746.516,2
"29343","Bulgaria",956,5525.84,2
"29344","Norway",956,728.333,1
"29345","Denmark",956,1161.629,1
"29346","Hungary",956,4723.745,3
"29347","Poland",956,2931.068,3
"29348","North Macedonia",956,4658.47,2
"29349","Bosnia and Herzegovina",956,4939.184,1
"29350","Portugal",956,2413.041,3
"29351","Sweden",956,1876.514,1
"29352","Spain",956,2426.016,3
"29353","Slovakia",956,3600.986,3
"29354","Czechia",956,3888.607,1
"29355","Germany",956,1802.055,2
"29356","Greece",956,3091.005,3
"29357","Italy",956,2952.362,3
"29358","Estonia",956,1896.59,2
"29359","Albania",956,1256.369,1
"29360","Switzerland",956,1549.116,1
"29361","France",956,2377.395,3
"29362","Slovenia",956,3815.377,2
"29363","Switzerland",957,1549.459,1
"29364","Netherlands",957,1285.07,1
"29365","Serbia",957,2401.643,1
"29366","Croatia",957,4105.091,1
"29367","Czechia",957,3890.417,1
"29368","Hungary",957,4723.745,3
"29369","Spain",957,2426.016,3
"29370","Greece",957,3091.005,3
"29371","Germany",957,1802.055,2
"29372","Romania",957,3379.627,3
"29373","Bulgaria",957,5525.84,2
"29374","Austria",957,2295.4,2
"29375","Lithuania",957,3364.656,3
"29376","Slovakia",957,3602.226,3
"29377","Albania",957,1257.073,1
"29378","Ukraine",957,2675.348,2
"29379","Denmark",957,1162.139,1
"29380","North Macedonia",957,4658.47,2
"29381","Norway",957,728.333,1
"29382","Finland",957,1066.824,1
"29383","France",957,2377.395,3
"29384","Latvia",957,3552.258,2
"29385","Bosnia and Herzegovina",957,4939.803,1
"29386","Poland",957,2931.921,3
"29387","United Kingdom",957,3054.085,2
"29388","Belarus",957,746.516,2
"29389","Slovenia",957,3815.377,2
"29390","Belgium",957,2781.247,3
"29391","Sweden",957,1878.41,1
"29392","Italy",957,2954.852,3
"29393","Estonia",957,1896.59,2
"29394","Ireland",957,1575.12,3
"29395","Portugal",957,2413.041,3
"29396","Italy",958,2956.952,3
"29397","Germany",958,1802.055,2
"29398","Croatia",958,4106.828,1
"29399","North Macedonia",958,4658.47,2
"29400","Portugal",958,2413.041,3
"29401","United Kingdom",958,3055.018,2
"29402","Greece",958,3091.005,3
"29403","Finland",958,1068.629,1
"29404","Austria",958,2296.743,2
"29405","Ukraine",958,2675.348,2
"29406","Norway",958,728.333,1
"29407","Switzerland",958,1549.573,1
"29408","Hungary",958,4723.745,3
"29409","Poland",958,2932.448,3
"29410","Ireland",958,1575.519,3
"29411","Belgium",958,2781.762,3
"29412","Slovenia",958,3815.377,2
"29413","Sweden",958,1880.306,1
"29414","Belarus",958,746.516,2
"29415","Serbia",958,2402.516,1
"29416","Latvia",958,3552.258,2
"29417","Lithuania",958,3365.747,3
"29418","Bosnia and Herzegovina",958,4941.967,1
"29419","Spain",958,2426.016,3
"29420","Albania",958,1257.424,1
"29421","Bulgaria",958,5525.84,2
"29422","Estonia",958,1896.59,2
"29423","Czechia",958,3892.037,1
"29424","Denmark",958,1163.839,1
"29425","Slovakia",958,3602.58,3
"29426","Netherlands",958,1285.07,1
"29427","Romania",958,3380.695,3
"29428","France",958,2377.395,3
"29429","Ukraine",959,2675.928,2
"29430","Sweden",959,1882.201,1
"29431","Romania",959,3381.763,3
"29432","Austria",959,2298.421,2
"29433","Latvia",959,3564.145,2
"29434","Lithuania",959,3366.474,3
"29435","Slovakia",959,3602.935,3
"29436","Denmark",959,1164.859,1
"29437","Albania",959,1257.424,1
"29438","Switzerland",959,1549.802,1
"29439","Hungary",959,4723.745,3
"29440","Poland",959,2932.448,3
"29441","France",959,2383.785,3
"29442","Estonia",959,1900.361,2
"29443","Ireland",959,1576.514,3
"29444","Slovenia",959,3831.416,2
"29445","Belgium",959,2782.191,3
"29446","Czechia",959,3892.99,1
"29447","Norway",959,728.333,1
"29448","Portugal",959,2416.936,3
"29449","Bulgaria",959,5533.95,2
"29450","United Kingdom",959,3056.04,2
"29451","Italy",959,2958.443,3
"29452","Spain",959,2433.144,3
"29453","Netherlands",959,1286.494,1
"29454","Belarus",959,746.516,2
"29455","Bosnia and Herzegovina",959,4942.895,1
"29456","Germany",959,1809.167,2
"29457","Croatia",959,4108.565,1
"29458","Finland",959,1070.073,1
"29459","Serbia",959,2404.844,1
"29460","North Macedonia",959,4676.143,2
"29461","Greece",959,3116.908,3
"29462","Estonia",960,1900.361,2
"29463","Switzerland",960,1549.916,1
"29464","Croatia",960,4111.542,1
"29465","Hungary",960,4723.745,3
"29466","Portugal",960,2416.936,3
"29467","Italy",960,2959.51,3
"29468","France",960,2383.785,3
"29469","Ireland",960,1576.713,3
"29470","United Kingdom",960,3057.166,2
"29471","Belgium",960,2783.049,3
"29472","Romania",960,3382.119,3
"29473","Poland",960,2932.448,3
"29474","Denmark",960,1165.879,1
"29475","Greece",960,3116.908,3
"29476","Austria",960,2299.204,2
"29477","North Macedonia",960,4676.143,2
"29478","Albania",960,1257.776,1
"29479","Bosnia and Herzegovina",960,4943.514,1
"29480","Latvia",960,3564.145,2
"29481","Czechia",960,3894.42,1
"29482","Bulgaria",960,5533.95,2
"29483","Serbia",960,2406.445,1
"29484","Sweden",960,1884.003,1
"29485","Slovenia",960,3831.416,2
"29486","Lithuania",960,3368.293,3
"29487","Germany",960,1809.167,2
"29488","Ukraine",960,2675.928,2
"29489","Netherlands",960,1286.494,1
"29490","Slovakia",960,3602.935,3
"29491","Norway",960,738.638,1
"29492","Finland",960,1071.878,1
"29493","Belarus",960,746.516,2
"29494","Spain",960,2433.144,3
"29495","Belarus",961,746.516,2
"29496","Finland",961,1072.96,1
"29497","Estonia",961,1900.361,2
"29498","Lithuania",961,3369.383,3
"29499","Ireland",961,1577.509,3
"29500","France",961,2383.785,3
"29501","Switzerland",961,1549.916,1
"29502","Poland",961,2933.15,3
"29503","Ukraine",961,2675.928,2
"29504","Bulgaria",961,5533.95,2
"29505","Albania",961,1258.128,1
"29506","North Macedonia",961,4676.143,2
"29507","Spain",961,2433.144,3
"29508","Greece",961,3116.908,3
"29509","Italy",961,2960.781,3
"29510","United Kingdom",961,3058.069,2
"29511","Romania",961,3382.628,3
"29512","Belgium",961,2783.649,3
"29513","Serbia",961,2407.755,1
"29514","Croatia",961,4113.527,1
"29515","Slovakia",961,3603.821,3
"29516","Hungary",961,4723.745,3
"29517","Bosnia and Herzegovina",961,4946.916,1
"29518","Sweden",961,1885.614,1
"29519","Portugal",961,2416.936,3
"29520","Slovenia",961,3831.416,2
"29521","Austria",961,2299.875,2
"29522","Latvia",961,3564.145,2
"29523","Norway",961,738.638,1
"29524","Netherlands",961,1286.494,1
"29525","Denmark",961,1167.069,1
"29526","Czechia",961,3895.372,1
"29527","Germany",961,1809.167,2
"29528","Ireland",962,1578.107,3
"29529","Latvia",962,3564.145,2
"29530","Hungary",962,4734.58,3
"29531","Austria",962,2301.329,2
"29532","United Kingdom",962,3059.032,2
"29533","Serbia",962,2410.083,1
"29534","Portugal",962,2416.936,3
"29535","Bulgaria",962,5533.95,2
"29536","France",962,2383.785,3
"29537","Finland",962,1074.404,1
"29538","Sweden",962,1887.131,1
"29539","Croatia",962,4117.497,1
"29540","Poland",962,2933.828,3
"29541","Slovenia",962,3831.416,2
"29542","Estonia",962,1900.361,2
"29543","Ukraine",962,2675.928,2
"29544","Romania",962,3385.019,3
"29545","Albania",962,1258.128,1
"29546","Spain",962,2433.144,3
"29547","Germany",962,1809.167,2
"29548","Czechia",962,3895.563,1
"29549","Slovakia",962,3604.352,3
"29550","Italy",962,2963.05,3
"29551","Greece",962,3116.908,3
"29552","Netherlands",962,1286.494,1
"29553","Switzerland",962,1550.489,1
"29554","Norway",962,738.638,1
"29555","Lithuania",962,3370.111,3
"29556","Bosnia and Herzegovina",962,4949.39,1
"29557","North Macedonia",962,4676.143,2
"29558","Belarus",962,746.516,2
"29559","Belgium",962,2784.421,3
"29560","Denmark",962,1168.089,1
"29561","Slovakia",963,3604.707,3
"29562","Hungary",963,4734.58,3
"29563","Romania",963,3386.494,3
"29564","United Kingdom",963,3060.187,2
"29565","France",963,2383.785,3
"29566","Finland",963,1078.555,1
"29567","Latvia",963,3564.145,2
"29568","Austria",963,2302,2
"29569","Netherlands",963,1286.494,1
"29570","Switzerland",963,1550.946,1
"29571","Croatia",963,4121.715,1
"29572","Belarus",963,746.516,2
"29573","Lithuania",963,3370.838,3
"29574","Greece",963,3116.908,3
"29575","Poland",963,2934.606,3
"29576","Bosnia and Herzegovina",963,4951.864,1
"29577","Slovenia",963,3831.416,2
"29578","Germany",963,1809.167,2
"29579","North Macedonia",963,4676.143,2
"29580","Italy",963,2964.947,3
"29581","Norway",963,738.638,1
"29582","Ukraine",963,2675.928,2
"29583","Spain",963,2433.144,3
"29584","Ireland",963,1578.903,3
"29585","Estonia",963,1900.361,2
"29586","Serbia",963,2411.975,1
"29587","Portugal",963,2416.936,3
"29588","Denmark",963,1170.299,1
"29589","Czechia",963,3896.421,1
"29590","Bulgaria",963,5533.95,2
"29591","Belgium",963,2784.679,3
"29592","Sweden",963,1888.647,1
"29593","Albania",963,1258.128,1
"29594","Italy",964,2966.37,3
"29595","Lithuania",964,3372.293,3
"29596","Switzerland",964,1550.946,1
"29597","United Kingdom",964,3060.958,2
"29598","Germany",964,1809.167,2
"29599","Croatia",964,4124.196,1
"29600","France",964,2383.785,3
"29601","Ireland",964,1579.301,3
"29602","Spain",964,2433.144,3
"29603","Denmark",964,1170.979,1
"29604","Romania",964,3387.511,3
"29605","Slovakia",964,3605.238,3
"29606","Greece",964,3116.908,3
"29607","Belarus",964,746.516,2
"29608","Finland",964,1079.999,1
"29609","Netherlands",964,1286.494,1
"29610","Hungary",964,4734.58,3
"29611","Belgium",964,2785.451,3
"29612","Poland",964,2935.609,3
"29613","Slovenia",964,3831.416,2
"29614","Norway",964,738.638,1
"29615","North Macedonia",964,4676.143,2
"29616","Estonia",964,1900.361,2
"29617","Bulgaria",964,5533.95,2
"29618","Latvia",964,3564.145,2
"29619","Serbia",964,2414.74,1
"29620","Austria",964,2302.783,2
"29621","Albania",964,1258.48,1
"29622","Sweden",964,1889.5,1
"29623","Portugal",964,2416.936,3
"29624","Czechia",964,3897.088,1
"29625","Ukraine",964,2675.928,2
"29626","Bosnia and Herzegovina",964,4954.647,1
"29627","Denmark",965,1171.829,1
"29628","Croatia",965,4128.414,1
"29629","Ukraine",965,2675.928,2
"29630","Netherlands",965,1286.494,1
"29631","Bosnia and Herzegovina",965,4956.193,1
"29632","United Kingdom",965,3061.684,2
"29633","Bulgaria",965,5533.95,2
"29634","Czechia",965,3897.85,1
"29635","Lithuania",965,3374.111,3
"29636","France",965,2383.785,3
"29637","Portugal",965,2416.936,3
"29638","Serbia",965,2418.087,1
"29639","Estonia",965,1900.361,2
"29640","North Macedonia",965,4676.143,2
"29641","Germany",965,1809.167,2
"29642","Latvia",965,3564.145,2
"29643","Slovakia",965,3605.415,3
"29644","Sweden",965,1890.069,1
"29645","Belgium",965,2786.223,3
"29646","Slovenia",965,3831.416,2
"29647","Italy",965,2968.047,3
"29648","Switzerland",965,1551.175,1
"29649","Finland",965,1082.345,1
"29650","Romania",965,3388.325,3
"29651","Austria",965,2303.566,2
"29652","Albania",965,1258.832,1
"29653","Belarus",965,746.516,2
"29654","Ireland",965,1579.699,3
"29655","Greece",965,3116.908,3
"29656","Poland",965,2936.186,3
"29657","Spain",965,2433.144,3
"29658","Hungary",965,4734.58,3
"29659","Norway",965,738.638,1
"29660","Spain",966,2439.557,3
"29661","Sweden",966,1891.017,1
"29662","Bulgaria",966,5533.95,2
"29663","Latvia",966,3573.331,2
"29664","Croatia",966,4130.151,1
"29665","Albania",966,1259.535,1
"29666","Poland",966,2936.186,3
"29667","France",966,2388.69,3
"29668","Portugal",966,2421.317,3
"29669","Romania",966,3389.292,3
"29670","Slovenia",966,3850.757,2
"29671","Greece",966,3138.381,3
"29672","Belarus",966,746.516,2
"29673","Netherlands",966,1287.177,1
"29674","Germany",966,1813.929,2
"29675","Hungary",966,4734.58,3
"29676","Switzerland",966,1551.175,1
"29677","Belgium",966,2786.48,3
"29678","Ireland",966,1580.297,3
"29679","Slovakia",966,3605.593,3
"29680","Lithuania",966,3375.202,3
"29681","Finland",966,1084.331,1
"29682","Italy",966,2969.402,3
"29683","Bosnia and Herzegovina",966,4956.812,1
"29684","Austria",966,2304.573,2
"29685","Estonia",966,1903.377,2
"29686","Norway",966,738.638,1
"29687","North Macedonia",966,4686.651,2
"29688","Denmark",966,1172.849,1
"29689","Czechia",966,3898.898,1
"29690","United Kingdom",966,3062.335,2
"29691","Serbia",966,2420.27,1
"29692","Ukraine",966,2676.885,2
"29693","Estonia",967,1903.377,2
"29694","Finland",967,1086.136,1
"29695","Serbia",967,2422.016,1
"29696","Hungary",967,4734.58,3
"29697","Italy",967,2970.097,3
"29698","Belgium",967,2786.823,3
"29699","Sweden",967,1892.155,1
"29700","Germany",967,1813.929,2
"29701","Latvia",967,3573.331,2
"29702","North Macedonia",967,4686.651,2
"29703","Switzerland",967,1551.404,1
"29704","Slovenia",967,3850.757,2
"29705","Portugal",967,2421.317,3
"29706","Albania",967,1259.887,1
"29707","Romania",967,3389.597,3
"29708","Denmark",967,1173.869,1
"29709","Bulgaria",967,5533.95,2
"29710","Ukraine",967,2676.885,2
"29711","Czechia",967,3899.279,1
"29712","Croatia",967,4133.129,1
"29713","United Kingdom",967,3063.194,2
"29714","Bosnia and Herzegovina",967,4956.812,1
"29715","Austria",967,2304.797,2
"29716","Ireland",967,1580.695,3
"29717","Spain",967,2439.557,3
"29718","Slovakia",967,3605.77,3
"29719","Netherlands",967,1287.177,1
"29720","Belarus",967,746.516,2
"29721","France",967,2388.69,3
"29722","Poland",967,2936.186,3
"29723","Greece",967,3138.381,3
"29724","Norway",967,744.711,1
"29725","Lithuania",967,3376.292,3
"29726","Ireland",968,1581.491,3
"29727","Bulgaria",968,5533.95,2
"29728","Finland",968,1088.121,1
"29729","Estonia",968,1903.377,2
"29730","Latvia",968,3573.331,2
"29731","Slovenia",968,3850.757,2
"29732","Belgium",968,2786.995,3
"29733","Denmark",968,1175.059,1
"29734","Albania",968,1259.887,1
"29735","France",968,2388.69,3
"29736","Belarus",968,746.516,2
"29737","Slovakia",968,3605.77,3
"29738","Bosnia and Herzegovina",968,4960.832,1
"29739","Czechia",968,3900.232,1
"29740","Norway",968,744.711,1
"29741","Spain",968,2439.557,3
"29742","Portugal",968,2421.317,3
"29743","Switzerland",968,1551.404,1
"29744","Poland",968,2936.914,3
"29745","Germany",968,1813.929,2
"29746","Sweden",968,1893.482,1
"29747","Greece",968,3138.381,3
"29748","Serbia",968,2424.054,1
"29749","United Kingdom",968,3064.098,2
"29750","Italy",968,2971.113,3
"29751","Croatia",968,4136.85,1
"29752","North Macedonia",968,4686.651,2
"29753","Netherlands",968,1287.177,1
"29754","Hungary",968,4734.58,3
"29755","Romania",968,3389.699,3
"29756","Lithuania",968,3377.02,3
"29757","Austria",968,2305.692,2
"29758","Ukraine",968,2676.885,2
"29759","Slovenia",969,3850.757,2
"29760","Denmark",969,1176.419,1
"29761","Serbia",969,2426.237,1
"29762","Estonia",969,1903.377,2
"29763","Croatia",969,4140.324,1
"29764","Hungary",969,4744.613,3
"29765","North Macedonia",969,4686.651,2
"29766","Poland",969,2937.767,3
"29767","Finland",969,1089.023,1
"29768","France",969,2388.69,3
"29769","Switzerland",969,1551.633,1
"29770","Romania",969,3391.428,3
"29771","Czechia",969,3901.471,1
"29772","Bosnia and Herzegovina",969,4963.306,1
"29773","Norway",969,744.711,1
"29774","Spain",969,2439.557,3
"29775","Ireland",969,1582.088,3
"29776","Portugal",969,2421.317,3
"29777","Lithuania",969,3377.747,3
"29778","Netherlands",969,1287.177,1
"29779","Germany",969,1813.929,2
"29780","Latvia",969,3573.331,2
"29781","Austria",969,2306.81,2
"29782","Belarus",969,746.516,2
"29783","Greece",969,3138.381,3
"29784","Sweden",969,1894.335,1
"29785","Albania",969,1260.239,1
"29786","Bulgaria",969,5533.95,2
"29787","Belgium",969,2787.681,3
"29788","United Kingdom",969,3064.898,2
"29789","Slovakia",969,3606.479,3
"29790","Italy",969,2972.773,3
"29791","Ukraine",969,2676.885,2
"29792","United Kingdom",970,3065.535,2
"29793","Spain",970,2439.557,3
"29794","Czechia",970,3901.948,1
"29795","Finland",970,1093.535,1
"29796","Germany",970,1813.929,2
"29797","Bosnia and Herzegovina",970,4963.616,1
"29798","Austria",970,2307.034,2
"29799","Bulgaria",970,5533.95,2
"29800","Belarus",970,746.516,2
"29801","Lithuania",970,3378.111,3
"29802","Slovakia",970,3607.187,3
"29803","Ukraine",970,2676.885,2
"29804","Hungary",970,4744.613,3
"29805","Greece",970,3138.381,3
"29806","Norway",970,744.711,1
"29807","Italy",970,2974.297,3
"29808","Portugal",970,2421.317,3
"29809","Serbia",970,2427.983,1
"29810","Switzerland",970,1551.747,1
"29811","Latvia",970,3573.331,2
"29812","Estonia",970,1903.377,2
"29813","Netherlands",970,1287.177,1
"29814","Sweden",970,1895.757,1
"29815","France",970,2388.69,3
"29816","Croatia",970,4143.301,1
"29817","Ireland",970,1582.685,3
"29818","Slovenia",970,3850.757,2
"29819","North Macedonia",970,4686.651,2
"29820","Belgium",970,2788.11,3
"29821","Denmark",970,1176.929,1
"29822","Romania",970,3393.259,3
"29823","Poland",970,2938.419,3
"29824","Albania",970,1260.239,1
"29825","Netherlands",971,1287.177,1
"29826","Portugal",971,2421.317,3
"29827","Belarus",971,746.516,2
"29828","Ireland",971,1583.681,3
"29829","Switzerland",971,1551.976,1
"29830","Austria",971,2307.817,2
"29831","Serbia",971,2429.584,1
"29832","Norway",971,744.711,1
"29833","Germany",971,1813.929,2
"29834","Estonia",971,1903.377,2
"29835","Hungary",971,4744.613,3
"29836","Slovenia",971,3850.757,2
"29837","Finland",971,1096.784,1
"29838","Belgium",971,2788.711,3
"29839","Italy",971,2975.449,3
"29840","North Macedonia",971,4686.651,2
"29841","Slovakia",971,3607.719,3
"29842","Ukraine",971,2676.885,2
"29843","United Kingdom",971,3066.646,2
"29844","Albania",971,1260.591,1
"29845","Sweden",971,1897.273,1
"29846","Latvia",971,3573.331,2
"29847","Bosnia and Herzegovina",971,4965.78,1
"29848","Romania",971,3394.226,3
"29849","Czechia",971,3902.71,1
"29850","Bulgaria",971,5533.95,2
"29851","Greece",971,3138.381,3
"29852","Denmark",971,1178.799,1
"29853","Croatia",971,4145.782,1
"29854","Lithuania",971,3378.838,3
"29855","France",971,2388.69,3
"29856","Spain",971,2439.557,3
"29857","Poland",971,2938.695,3
"29858","Finland",972,1100.033,1
"29859","Poland",972,2939.272,3
"29860","United Kingdom",972,3067.298,2
"29861","Slovenia",972,3850.757,2
"29862","France",972,2388.69,3
"29863","Estonia",972,1903.377,2
"29864","Norway",972,744.711,1
"29865","Romania",972,3395.396,3
"29866","North Macedonia",972,4686.651,2
"29867","Croatia",972,4148.76,1
"29868","Denmark",972,1179.139,1
"29869","Belgium",972,2789.226,3
"29870","Switzerland",972,1551.976,1
"29871","Czechia",972,3902.996,1
"29872","Greece",972,3138.381,3
"29873","Italy",972,2976.991,3
"29874","Ireland",972,1584.079,3
"29875","Slovakia",972,3608.073,3
"29876","Spain",972,2439.557,3
"29877","Belarus",972,746.516,2
"29878","Netherlands",972,1287.177,1
"29879","Bulgaria",972,5533.95,2
"29880","Latvia",972,3573.331,2
"29881","Austria",972,2307.929,2
"29882","Albania",972,1260.591,1
"29883","Lithuania",972,3379.565,3
"29884","Bosnia and Herzegovina",972,4967.327,1
"29885","Portugal",972,2421.317,3
"29886","Ukraine",972,2676.885,2
"29887","Serbia",972,2431.33,1
"29888","Sweden",972,1899.075,1
"29889","Germany",972,1813.929,2
"29890","Hungary",972,4744.613,3
"29891","Poland",973,2939.272,3
"29892","Albania",973,1260.591,1
"29893","Spain",973,2444.856,3
"29894","Netherlands",973,1287.632,1
"29895","Serbia",973,2432.931,1
"29896","Ireland",973,1584.278,3
"29897","Latvia",973,3581.977,2
"29898","France",973,2393.363,3
"29899","Sweden",973,1900.307,1
"29900","Portugal",973,2425.99,3
"29901","Estonia",973,1907.902,2
"29902","Norway",973,744.711,1
"29903","Italy",973,2977.804,3
"29904","Belgium",973,2789.912,3
"29905","United Kingdom",973,3068.009,2
"29906","Bulgaria",973,5537.784,2
"29907","Germany",973,1818.14,2
"29908","Bosnia and Herzegovina",973,4967.327,1
"29909","Belarus",973,746.516,2
"29910","Hungary",973,4744.613,3
"29911","Ukraine",973,2677.993,2
"29912","Czechia",973,3903.186,1
"29913","Finland",973,1103.281,1
"29914","Lithuania",973,3379.565,3
"29915","Austria",973,2308.153,2
"29916","Romania",973,3396.159,3
"29917","North Macedonia",973,4692.382,2
"29918","Denmark",973,1179.989,1
"29919","Croatia",973,4151.489,1
"29920","Slovakia",973,3608.251,3
"29921","Slovenia",973,3863.965,2
"29922","Greece",973,3156.484,3
"29923","Switzerland",973,1552.205,1
"29924","Belarus",974,746.516,2
"29925","Netherlands",974,1287.632,1
"29926","Slovakia",974,3608.605,3
"29927","Bulgaria",974,5537.784,2
"29928","Latvia",974,3581.977,2
"29929","Austria",974,2309.159,2
"29930","Poland",974,2939.272,3
"29931","Lithuania",974,3379.929,3
"29932","Germany",974,1818.14,2
"29933","Sweden",974,1901.444,1
"29934","Estonia",974,1907.902,2
"29935","Italy",974,2978.312,3
"29936","Ukraine",974,2677.993,2
"29937","United Kingdom",974,3068.809,2
"29938","Romania",974,3396.464,3
"29939","Belgium",974,2790.255,3
"29940","Slovenia",974,3863.965,2
"29941","Bosnia and Herzegovina",974,4967.945,1
"29942","Portugal",974,2425.99,3
"29943","North Macedonia",974,4692.382,2
"29944","Finland",974,1105.627,1
"29945","Norway",974,749.311,1
"29946","Hungary",974,4744.613,3
"29947","Switzerland",974,1552.548,1
"29948","Greece",974,3156.484,3
"29949","Ireland",974,1584.676,3
"29950","Albania",974,1260.591,1
"29951","Serbia",974,2435.696,1
"29952","Spain",974,2444.856,3
"29953","France",974,2393.363,3
"29954","Croatia",974,4152.482,1
"29955","Denmark",974,1180.839,1
"29956","Czechia",974,3903.663,1
"29957","Hungary",975,4744.613,3
"29958","Belgium",975,2790.684,3
"29959","Denmark",975,1182.029,1
"29960","Belarus",975,746.516,2
"29961","Estonia",975,1907.902,2
"29962","Croatia",975,4154.963,1
"29963","Switzerland",975,1552.777,1
"29964","Romania",975,3396.82,3
"29965","Portugal",975,2425.99,3
"29966","United Kingdom",975,3069.475,2
"29967","Greece",975,3156.484,3
"29968","Bosnia and Herzegovina",975,4971.038,1
"29969","North Macedonia",975,4692.382,2
"29970","Slovakia",975,3609.314,3
"29971","Czechia",975,3904.425,1
"29972","Poland",975,2939.799,3
"29973","Albania",975,1260.591,1
"29974","France",975,2393.363,3
"29975","Netherlands",975,1287.632,1
"29976","Germany",975,1818.14,2
"29977","Lithuania",975,3380.292,3
"29978","Sweden",975,1902.582,1
"29979","Norway",975,749.311,1
"29980","Latvia",975,3581.977,2
"29981","Finland",975,1106.71,1
"29982","Spain",975,2444.856,3
"29983","Serbia",975,2437.588,1
"29984","Bulgaria",975,5537.784,2
"29985","Italy",975,2978.989,3
"29986","Austria",975,2309.942,2
"29987","Ireland",975,1585.473,3
"29988","Slovenia",975,3863.965,2
"29989","Ukraine",975,2677.993,2
"29990","Greece",976,3156.484,3
"29991","Norway",976,749.311,1
"29992","Denmark",976,1183.219,1
"29993","Austria",976,2310.837,2
"29994","Lithuania",976,3380.292,3
"29995","Romania",976,3397.634,3
"29996","Finland",976,1108.335,1
"29997","France",976,2393.363,3
"29998","Sweden",976,1903.719,1
"29999","Bulgaria",976,5537.784,2
"30000","Latvia",976,3581.977,2
"30001","Spain",976,2444.856,3
"30002","Czechia",976,3905.569,1
"30003","Belgium",976,2791.027,3
"30004","Albania",976,1260.591,1
"30005","Poland",976,2940.301,3
"30006","Belarus",976,746.516,2
"30007","Croatia",976,4157.444,1
"30008","United Kingdom",976,3070.053,2
"30009","Bosnia and Herzegovina",976,4973.821,1
"30010","Ukraine",976,2677.993,2
"30011","Slovakia",976,3610.2,3
"30012","Estonia",976,1907.902,2
"30013","Ireland",976,1585.871,3
"30014","Portugal",976,2425.99,3
"30015","North Macedonia",976,4692.382,2
"30016","Germany",976,1818.14,2
"30017","Hungary",976,4752.238,3
"30018","Italy",976,2980.344,3
"30019","Switzerland",976,1552.777,1
"30020","Slovenia",976,3863.965,2
"30021","Netherlands",976,1287.632,1
"30022","Serbia",976,2439.771,1
"30023","Belgium",977,2791.628,3
"30024","Lithuania",977,3380.292,3
"30025","North Macedonia",977,4692.382,2
"30026","Spain",977,2444.856,3
"30027","Netherlands",977,1287.632,1
"30028","France",977,2393.363,3
"30029","Finland",977,1111.222,1
"30030","Belarus",977,746.516,2
"30031","Slovenia",977,3863.965,2
"30032","Portugal",977,2425.99,3
